%
Project ID	saudardalsstifla
Sounding ID	6
Zero values	2442.8 27492.0 2051.0 2476.5 27468.0 2050.6
#
Depth	ROP	Feed force	U2	QC	FS	Friction Ratio
2.05	17.6	6.6	115.4	6.26	31.15	0.0
2.06	17.2	7.3	121.0	6.607	32.1	0.0
2.07	17.3	7.8	126.8	7.107	33.29	0.0
2.08	17.8	8.2	132.15	7.436	34.29	0.0
2.09	17.4	8.5	133.94	7.585	35.15	0.0
2.10	18.1	8.8	134.55	7.731	35.9	0.0
2.11	17.4	9.1	134.9	7.89	36.79	0.0
2.12	17.4	9.5	135.44	8.036	38.15	0.0
2.13	17.6	9.9	137.1	8.176	40.65	0.0
2.14	17.3	10.3	139.43	8.449	44.73	0.0
2.15	17.5	10.9	139.9	8.721	46.95	0.0
2.16	17.1	11.3	140.05	8.87	49.1	0.0
2.17	17.9	11.7	140.4	9.022	51.75	0.0
2.18	17.3	12.0	140.8	9.175	54.2	0.0
2.19	17.5	12.5	141.65	9.312	56.45	0.0
2.20	17.6	12.8	142.94	9.438	59.1	0.0
2.21	18.2	12.9	143.69	9.577	62.05	0.0
2.22	17.8	12.9	142.76	9.7	65.03	0.0
2.23	18.6	12.8	140.65	9.657	67.45	0.0
2.24	18.0	12.7	138.05	9.551	70.09	0.0
2.25	17.7	12.7	136.1	9.406	74.0	0.0
2.26	18.3	12.6	134.8	9.254	76.95	0.0
2.27	18.0	12.5	133.15	9.137	78.84	0.0
2.28	18.5	12.5	131.0	9.047	81.05	0.0
2.29	17.5	12.5	129.15	8.968	83.65	0.0
2.30	17.9	12.7	128.0	8.883	85.25	0.0
2.31	18.0	12.8	127.2	8.812	85.8	0.0
2.32	17.6	12.9	126.46	8.716	86.53	0.0
2.33	18.0	13.0	126.25	8.634	88.15	1.0
2.34	17.9	13.1	126.25	8.594	89.25	1.0
2.35	18.2	12.9	125.4	8.525	89.65	1.0
2.36	18.4	12.8	123.2	8.417	89.65	1.0
2.37	18.2	12.6	120.8	8.221	88.75	1.0
2.38	17.8	12.6	119.0	7.967	86.8	1.0
2.39	18.3	12.7	117.35	7.804	84.8	1.0
2.40	1.5	0.1	62.71	2.78	18.96	0.0
2.41	5.5	1.6	65.02	2.237	7.54	0.0
2.42	13.5	11.8	100.0	3.943	61.25	1.0
2.43	13.6	11.8	138.9	6.391	94.86	1.0
2.44	15.4	11.6	153.3	7.239	91.05	1.0
2.45	17.4	11.5	149.69	7.233	86.25	1.0
2.46	17.5	11.4	146.8	7.195	82.65	1.0
2.47	18.2	11.3	143.65	7.172	80.0	1.0
2.48	18.4	11.3	140.06	7.152	75.43	1.0
2.49	18.6	11.3	138.19	7.159	72.25	1.0
2.50	19.1	11.4	137.6	7.195	71.84	0.0
